author,bookid,rating
Melissa de la Cruz,1971,3.89
Tom Clancy,1972,4.16
Sigmund Freud,1973,3.81
Peter Straub,1974,3.95
Lemony Snicket,1975,4.02
Brett Helquist,1975,4.02
Bill Bryson,1976,3.89
Lemony Snicket,1977,3.99
Brett Helquist,1977,3.99
Mary Karr,1978,3.92
Charlaine Harris,1979,3.39
Ray Bradbury,1980,4.13
Raine Miller,1981,4.02
Jeff VanderMeer,1982,3.62
Abbi Glines,1983,3.88
Margaret Wise Brown,1984,4.14
Clement Hurd,1984,4.14
Stephen Hawking,1985,4.0
Leonard Mlodinow,1985,4.0
John Grisham,1986,3.79
Richard Bachman,1987,4.1
Stephen King,1987,4.1
Reza Aslan,1988,3.82
Terry Goodkind,1989,3.87
Jan-Philipp Sendker,1990,3.98
Kevin Wiliarty,1990,3.98
Iain M. Banks,1991,3.85
David J. Schwartz,1992,4.19
Anne Rice,1993,3.75
Abbi Glines,1994,4.24
George R.R. Martin,1995,4.49
Carlo Collodi,1996,3.86
John Boyne,1996,3.86
Monteiro Lobato,1996,3.86
Unknown,1996,3.86
Robin LaFevers,1997,3.92
Stormie Omartian,1998,4.31
Henry Miller,1999,3.71
Wally Lamb,2000,3.8
Brian Sibley,2001,4.48
Leo Tolstoy,2002,4.04
Aylmer Maude,2002,4.04
Paula McLain,2003,3.93
John Steinbeck,2004,4.07
Alice Hoffman,2005,4.02
Scott Lynch,2006,4.23
Cornelia Funke,2007,3.95
Susan Ee,2008,4.22
Dean Koontz,2009,3.98
John Howard Griffin,2010,4.12
Chuck Palahniuk,2011,3.18
James Patterson,2012,3.95
Ian McEwan,2013,3.61
Jonathan Kellerman,2014,4.02
Robert James Waller,2015,3.51
Lee Child,2016,4.17
Michael Scott,2017,4.11
Hilary Mantel,2018,4.26
Rick Riordan,2019,3.83
Mark Bittman,2020,4.02
Stephenie Meyer,2021,3.78
Wassily Kandinsky,2022,3.81
Winston Groom,2023,4.06
Albert Camus,2024,4.05
Justin O'Brien,2024,4.05
Tom Robbins,2025,3.74
Wilkie Collins,2026,3.9
Carolyn G. Heilbrun,2026,3.9
Italo Calvino,2027,4.08
William Weaver,2027,4.08
Gregory Maguire,2028,3.45
Douglas Smith,2028,3.45
Ian McEwan,2029,3.54
Sue Grafton,2030,4.07
Patricia Cornwell,2031,4.02
Patricia MacLachlan,2032,3.72
ywsf zydn,2033,4.07
Christopher Moore,2034,3.93
David Sedaris,2035,3.34
Ian Falconer,2035,3.34
Brene Brown,2036,4.17
Ann Patchett,2037,3.84
Melissa de la Cruz,2038,3.95
Robert McCloskey,2039,4.18
Colleen Hoover,2040,4.39
Stephen King,2041,3.65
Eben Alexander,2042,3.68
Terry Pratchett,2043,4.36
A.J. Jacobs,2044,3.76
Frank Herbert,2045,3.81
Emily Giffin,2046,3.11
Jean M. Auel,2047,3.98
Harlan Coben,2048,3.8
Beverly Cleary,2049,4.04
L.J. Smith,2050,4.2
Katherine Dunn,2051,3.98
Sophocles,2052,3.96
Dudley Fitts,2052,3.96
Elena Bono,2052,3.96
Robert Fitzgerald,2052,3.96
Robert Penn Warren,2053,4.08
Ann Brashares,2054,3.82
Harlan Coben,2055,4.04
Robert Jordan,2056,4.01
John Grisham,2057,3.77
Fredrik Backman,2058,4.02
Henning Koch,2058,4.02
Vince Flynn,2059,4.24
Brene Brown,2060,4.24
Hannah Kent,2061,4.01
Sarah Waters,2062,4.02
Peter Mayle,2063,3.94
Kate DiCamillo,2064,4.34
Bagram Ibatoulline,2064,4.34
Jojo Moyes,2065,3.94
Martin Cruz Smith,2066,4.04
Tara Conklin,2067,3.75
Karen Hesse,2068,3.73
Meg Cabot,2069,3.71
Jeff Kinney,2070,4.21
Elizabeth Wein,2071,4.08
Ellen Hopkins,2072,4.24
Sidney Sheldon,2073,4.09
Patricia Cornwell,2074,4.04
Meg Cabot,2075,3.83
Anonymous,2076,3.63
N.K. Sandars,2076,3.63
Anna Godbersen,2077,3.63
Beatrix Potter,2078,4.36
Philip Roth,2079,3.91
Elizabeth Gilbert,2080,3.9
Jim Butcher,2081,4.55
Anonymous,2082,4.34
Gena Showalter,2083,4.09
Neal Stephenson,2084,4.18
Barbara Kingsolver,2085,3.76
Terry Pratchett,2086,4.22
Elizabeth Berg,2087,3.68
Jeannette Walls,2088,3.68
John Irving,2089,3.89
Laurell K. Hamilton,2090,4.11
Nora Roberts,2091,4.16
Ellen Hopkins,2092,4.34
Roberto Aguirre-Sacasa,2093,4.52
Mike Perkins,2093,4.52
Laura       Martin,2093,4.52
Stephen King,2093,4.52
Janet Evanovich,2094,3.94
Lorelei King,2094,3.94
Dr. Seuss,2095,4.31
Bill Martin Jr.,2096,4.16
Eric Carle,2096,4.16
Hermann Hesse,2097,4.1
Kurt Vonnegut Jr.,2098,3.94
Yoshiki Nakamura,2099,4.26
Tomo Kimura,2099,4.26
Frank Miller,2100,4.21
J.K. Rowling,2101,4.66
Mary GrandPre,2101,4.66
Paolo Bacigalupi,2102,3.74
Oscar Wilde,2103,4.26
Richard Allen Cave,2103,4.26
Stephanie Perkins,2104,4.1
Ilona Andrews,2105,4.07
Jodi Ellen Malpas,2106,4.43
Irene Nemirovsky,2107,3.82
Sandra Smith,2107,3.82
Vincent van Gogh,2108,3.99
Ronald de Leeuw,2108,3.99
Mark Roskill,2108,3.99
Arnold J. Pomerans,2108,3.99
Terry Pratchett,2109,3.87
Bryan Lee O'Malley,2110,4.24
Grant Morrison,2111,4.09
Dave McKean,2111,4.09
Jenny Han,2112,4.17
David Baldacci,2113,4.05
Hillary Jordan,2114,3.99
Mark Bowden,2115,4.28
V.E. Schwab,2116,4.07
Victoria Schwab,2116,4.07
David Grann,2117,3.86
Brandon Sanderson,2118,4.29
Trudi Canavan,2119,3.96
Michael Scott,2120,4.12
Lee Child,2121,4.08
Patricia McCormick,2122,3.76
Roald Dahl,2123,4.02
Quentin Blake,2123,4.02
Jane Smiley,2124,3.79
Lloyd Alexander,2125,4.0
Patricia Briggs,2126,4.11
Ian Falconer,2127,4.13
Kent Haruf,2128,4.0
Daniel Clowes,2129,3.87
Amanda Hocking,2130,4.04
Ivan Turgenev,2131,3.94
George Reavy,2131,3.94
Jane Costlow,2131,3.94
Eliyahu M. Goldratt,2132,4.0
Jeff Cox,2132,4.0
Geraldine Brooks,2133,3.81
Claudia Gray,2134,3.64
Lee Child,2135,4.17
Karen Joy Fowler,2136,3.07
Ian McEwan,2137,3.68
Janet Evanovich,2138,3.93
Ashlee Vance,2139,4.25
James S.A. Corey,2140,4.28
Rebecca Donovan,2141,4.33
Homer,2142,4.03
Robert Fagles,2142,4.03
Bernard Knox,2142,4.03
Mark Waid,2143,4.24
Alex Ross,2143,4.24
Elliot S. Maggin,2143,4.24
Henri Charriere,2144,4.23
Sarah Waters,2145,4.0
Chris Colfer,2146,4.21
Brandon Dorman,2146,4.21
David Ebershoff,2147,3.63
Walter Dean Myers,2148,3.7
George R.R. Martin,2149,4.63
Patricia Cornwell,2150,4.0
Brian K. Vaughan,2151,4.15
Fiona Staples,2151,4.15
Sara Shepard,2152,4.02
Jessica Sorensen,2153,4.01
Kevin Hearne,2154,4.12
Stephen King,2155,3.42
Kim Stanley Robinson,2156,3.84
Charlotte Perkins Gilman,2157,4.11
Elaine Hedges,2157,4.11
H.G. Wells,2158,4.08
Alfred MacAdam,2158,4.08
Nora Roberts,2159,4.24
Brent Weeks,2160,4.45
Morgan Matson,2161,4.19
Steve Martin,2162,3.58
Heidi Murkoff,2163,3.75
Arlene Eisenberg,2163,3.75
Sandee Hathaway,2163,3.75
John Flanagan,2164,4.22
Marian Keyes,2165,3.91
Peter Thiel,2166,4.17
Blake  Masters,2166,4.17
Sarah J. Maas,2167,4.58
Charles Dickens,2168,4.11
Katharine Kroeber Wiley,2168,4.11
Gillian Flynn,2169,3.54
Neil Gaiman,2170,4.05
Amish Tripathi,2171,3.66
Kurt Vonnegut Jr.,2172,4.13
Jim Gaffigan,2173,3.76
David McCullough,2174,4.15
Ron Chernow,2175,4.26
Dr. Seuss,2176,4.41
Various,2176,4.41
Nikolai Gogol,2177,3.98
Robert A. Maguire,2177,3.98
Elle Kennedy,2178,4.3
Kiera Cass,2179,3.8
David Baldacci,2180,3.99
Arlene Mosel,2181,4.21
Blair Lent,2181,4.21
L.J. Smith,2182,4.04
Tina Reber,2183,4.04
James Patterson,2184,3.98
Penelope Douglas,2185,4.15
Alison Weir,2186,4.1
Yevgeny Zamyatin,2187,3.95
Clarence Brown,2187,3.95
Barbara Kingsolver,2188,3.97
John Scalzi,2189,4.09
Alan Paton,2190,3.87
Brian Froud,2191,3.89
Alan Lee,2191,3.89
Gregory Maguire,2192,3.51
Nick Hornby,2193,3.18
Cassandra Clare,2194,4.47
Cornelia Funke,2195,3.93
Isaac Asimov,2196,4.08
Thomas Hardy,2197,3.8
David Eddings,2198,4.13
Shirley Jackson,2199,4.06
Margaret Peterson Haddix,2200,3.99
Aprilynne Pike,2201,3.75
Cecily von Ziegesar,2202,3.51
Frederick Forsyth,2203,4.1
Elizabeth Strout,2204,3.54
Yuval Noah Harari,2205,4.41
Chelsea Handler,2206,3.74
Johnny Kansas,2206,3.74
Stephanie Stehling,2206,3.74
Heather McDonald,2206,3.74
Roy Handler,2206,3.74
Brad Wollack,2206,3.74
Amber Mazzola,2206,3.74
Josh Wolf,2206,3.74
Shoshanna Handler,2206,3.74
Eva Magdalenski,2206,3.74
Amy Meyer,2206,3.74
Glen Handler,2206,3.74
Dave Mallow,2206,3.74
Sarah Colonna,2206,3.74
Tana French,2207,3.92
M. Leighton,2208,4.05
William Shakespeare,2209,4.49
Ursula K. Le Guin,2210,4.18
Henning Mankell,2211,3.78
Steven T. Murray,2211,3.78
John Grisham,2212,3.81
Dean Koontz,2213,4.06
James Patterson,2214,3.96
Keith David,2214,3.96
Anthony Heald,2214,3.96
Judy Blume,2215,3.98
Shari Lapena,2216,3.74
Cynthia Hand,2217,4.15
Ann Leckie,2218,3.97
Terry Goodkind,2219,3.67
James C. Collins,2220,3.98
Jerry I. Porras,2220,3.98
Allen Eskens,2221,3.93
Eric Wilson,2222,4.47
Jack Higgins,2223,4.15
Laurell K. Hamilton,2224,4.12
David Wong,2225,3.92
Carl Sagan,2226,4.27
Ann Druyan,2226,4.27
Lucy Christopher,2227,3.93
Stanislaw Lem,2228,3.97
Elizabeth Wurtzel,2229,3.57
Lloyd Alexander,2230,4.13
Daniel J. Levitin,2231,3.86
Mitch Albom,2232,3.73
Augusten Burroughs,2233,3.97
Anna Quindlen,2234,3.63
Agatha Christie,2235,3.97
Anonymous,2236,4.61
J.R. Ward,2237,4.35
Julia Quinn,2238,4.11
Margaret Weis,2239,4.12
Tracy Hickman,2239,4.12
Lorraine Hansberry,2240,3.72
Richard K. Morgan,2241,4.1
Tom Clancy,2242,3.99
A.J. Banner,2243,3.33
Brian K. Vaughan,2244,4.57
Fiona Staples,2244,4.57
Lee Child,2245,4.15
Michael   Lewis,2246,4.12
Jean-Dominique Bauby,2247,4.01
Jeremy Leggatt,2247,4.01
Bill O'Reilly,2248,4.05
Martin Dugard,2248,4.05
John Grisham,2249,3.7
Bill Bryson,2250,3.93
Chevy Stevens,2251,3.96
Frank McCourt,2252,3.66
Charles C. Mann,2253,4.01
Marissa Meyer,2254,4.02
Kay Redfield Jamison,2255,4.03
Sarah  Young,2256,4.54
Edward Albee,2257,4.09
Andrzej Sapkowski,2258,4.2
Umberto Eco,2259,3.89
William Weaver,2259,3.89
Don Freeman,2260,4.29
James Patterson,2261,4.03
Maxine Paetro,2261,4.03
Jacqueline Carey,2262,4.04
Eric Metaxas,2263,4.23
Janet Evanovich,2264,3.92
Michael  Grant,2265,4.09
A.W. Tozer,2266,4.38
Julie Kagawa,2267,4.23
Jacqueline Winspear,2268,3.91
Raymond E. Feist,2269,4.32
Ann Brashares,2270,3.8
Terry Pratchett,2271,4.26
Stieg Larsson,2272,4.46
Reg Keeland,2272,4.46
Dot Hutchison,2273,4.07
Tom Robbins,2274,4.03
Jeaniene Frost,2275,4.34
R.K. Lilley,2276,4.1
James Patterson,2277,3.99
Meg Cabot,2278,3.73
Bill Bryson,2279,3.88
David Levithan,2280,3.85
Wally Lamb,2281,3.79
James Patterson,2282,4.07
Alexandra Adornetto,2283,3.67
Kiran Desai,2284,3.41
Raymond E. Feist,2285,4.17
Johann Wolfgang von Goethe,2286,3.63
Burton Pike,2286,3.63
Jeaniene Frost,2287,4.31
Alexandra Fuller,2288,3.96
Robin McKinley,2289,4.05
Jonathan Safran Foer,2290,4.18
Angie Sage,2291,3.99
Mark Zug,2291,3.99
s`wd lsn`wsy,2292,4.25
Saud Alsanousi,2292,4.25
Rae Carson,2293,3.81
Ann Aguirre,2294,3.92
Dava Sobel,2295,3.95
Neil Armstrong,2295,3.95
Patricia Cornwell,2296,4.05
Johann Wolfgang von Goethe,2297,3.93
Peter Salm,2297,3.93
James W. Loewen,2298,3.96
Robin Hobb,2299,4.38
Joe Hill,2300,4.18
Gabriel Rodriguez,2300,4.18
Patrick Ness,2301,4.2
Alexandra Ripley,2302,3.44
Laurell K. Hamilton,2303,4.1
F. Scott Fitzgerald,2304,3.68
Blaine Harden,2305,3.99
Kim Harrison,2306,4.29
Curtis Sittenfeld,2307,3.63
Sarah Thornton,2308,3.54
J.R.R. Tolkien,2309,3.94
Christopher Tolkien,2309,3.94
Alan Lee,2309,3.94
Dave Ramsey,2310,4.29
Richard Atwater,2311,3.95
Florence Atwater,2311,3.95
Robert Lawson,2311,3.95
Orson Scott Card,2312,3.88
Lev Grossman,2313,4.16
William Faulkner,2314,3.93
E.B. White,2315,4.06
Fred Marcellino,2315,4.06
George Saunders,2316,3.96
Sherrilyn Kenyon,2317,4.23
Thomas J. Stanley,2318,4.0
William D. Danko,2318,4.0
Ally Carter,2319,4.2
Bob Dylan,2320,3.98
Bill Bryson,2321,3.83
Lisa See,2322,4.06
Sidney Sheldon,2323,3.93
Laura Ingalls Wilder,2324,4.16
Garth Williams,2324,4.16
Iain M. Banks,2325,4.26
George Selden,2326,4.01
Garth Williams,2326,4.01
Patrick Lencioni,2327,4.01
William S. Burroughs,2328,3.85
Oliver  Harris,2328,3.85
Allen Ginsberg,2328,3.85
Roger Fisher,2329,3.88
William Ury,2329,3.88
Bruce Patton,2329,3.88
R.K. Lilley,2330,4.21
Colleen Hoover,2331,4.41
Kerry Lonsdale,2332,3.84
Samantha Towle,2333,4.19
Madeline Miller,2334,4.27
Amy Schumer,2335,3.76
Krishna-Dwaipayana Vyasa,2336,4.1
Simon Brodbeck,2336,4.1
Juan Mascaro,2336,4.1
Paul Auster,2337,3.92
Art Spiegelman,2337,3.92
Pam Munoz Ryan,2338,3.91
J.D. Salinger,2339,4.11
Candace Bushnell,2340,3.37
Laurell K. Hamilton,2341,4.12
Friedrich Nietzsche,2342,4.01
R.J. Hollingdale,2342,4.01
Michael Tanner,2342,4.01
Christopher Paul Curtis,2343,3.95
Charles Bukowski,2344,3.96
Julie Kagawa,2345,4.1
Dave Cullen,2346,4.26
Anne Rice,2347,3.84
Laila Ibrahim,2348,4.24
Mark Owen,2349,3.95
Kevin Maurer,2349,3.95
Laura Moriarty,2350,3.84
Patricia Cornwell,2351,4.05
Richard Bachman,2352,3.63
Stephen King,2352,3.63
Neil Gaiman,2353,4.54
Matt Wagner,2353,4.54
George Pratt,2353,4.54
Dick Giordano,2353,4.54
Kelley Jones,2353,4.54
P. Craig Russell,2353,4.54
Mike Dringenberg,2353,4.54
Malcolm Jones III,2353,4.54
Todd Klein,2353,4.54
Harlan Ellison,2353,4.54
James Patterson,2354,3.98
Andrew Gross,2354,3.98
George Eliot,2355,3.6
Jennifer L. Armentrout,2356,4.44
Michael Pollan,2357,4.05
Kami Garcia,2358,3.94
Margaret Stohl,2358,3.94
Kate Morton,2359,3.87
Clare Mackintosh,2360,4.09
Robert Louis Stevenson,2361,3.78
H.G. Bissinger,2362,4.11
David Sheff,2363,4.03
Abbi Glines,2364,3.98
Edgar Allan Poe,2365,4.09
Ovid,2366,4.03
David Raeburn,2366,4.03
Denis Feeney,2366,4.03
Julia Alvarez,2367,4.13
Robert Morgan,2368,3.71
Jennifer L. Armentrout,2369,4.16
Bo Hampton,2370,3.96
Tracey Hampton,2370,3.96
Washington Irving,2370,3.96
Jen Lancaster,2371,3.9
Nora Roberts,2372,4.19
Karin Slaughter,2373,4.1
Wallace Stegner,2374,4.27
John le Carre,2375,4.04
Brian Jacques,2376,3.95
Veronica Rossi,2377,4.17
Elin Hilderbrand,2378,3.77
James Frey,2379,3.83
Tennessee Williams,2380,4.07
James Patterson,2381,3.86
Robin Hobb,2382,4.32
David Baldacci,2383,3.98
Michael Connelly,2384,4.17
Tad Williams,2385,3.95
Marjane Satrapi,2386,4.27
Jan Karon,2387,4.11
Tony Hsieh,2388,4.01
Anthony Horowitz,2389,4.16
Erika Johansen,2390,4.02
Gordon Korman,2391,3.88
Holly Black,2392,3.73
Lee Child,2393,3.98
L.J. Smith,2394,3.74
Colleen Hoover,2395,4.12
Tarryn Fisher,2395,4.12
Elizabeth Haynes,2396,4.1
Richard Lancelyn Green,2397,4.4
Ronald Knox,2397,4.4
Julian Symons,2397,4.4
Various,2397,4.4
James Patterson,2398,4.02
Terry Goodkind,2399,3.82
James Rollins,2400,4.06
Harlan Coben,2401,3.85
Sara Shepard,2402,4.06
E.M. Forster,2403,3.66
Oliver Stallybrass,2403,3.66
Pankaj Mishra,2403,3.66
Rachel Hartman,2404,3.98
Nora Roberts,2405,4.14
Jean M. Auel,2406,3.88
Jim Butcher,2407,4.35
Erich Segal,2408,3.6
Kevin Henkes,2409,4.31
Wendy Higgins,2410,4.13
Herman Wouk,2411,4.36
Stephen King,2412,4.14
Jae Lee,2412,4.14
Bernard Cornwell,2413,4.23
Michael E. Gerber,2414,3.98
James Howe,2415,3.83
Deborah Howe,2415,3.83
Alan Daniel,2415,3.83
R.A. Salvatore,2416,4.24
Amanda Hocking,2417,4.08
Jussi Adler-Olsen,2418,3.98
Lisa Hartford,2418,3.98
Gabriel Garcia Marquez,2419,3.98
Rick Riordan,2420,4.04
Oliver Sacks,2421,3.88
Stephen King,2422,4.09
Christopher Moore,2423,3.96
John Connolly,2424,3.98
Bill Clinton,2425,3.72
Frank Miller,2426,3.93
Lynn Varley,2426,3.93
Linda Sue Park,2427,3.98
Ally Carter,2428,4.29
Lee Child,2429,4.09
Charlaine Harris,2430,3.85
Jo Nesbo,2431,3.56
Don Bartlett,2431,3.56
Nora Roberts,2432,4.15
Jodi Picoult,2433,3.52
Nobuhiro Watsuki,2434,4.33
Kenichiro Yagi,2434,4.33
Miranda Kenneally,2435,3.85
Joe Simpson,2436,4.2
Colleen Hoover,2437,4.18
Simms Taback,2438,4.2
Dan Millman,2439,4.13
Salman Rushdie,2440,3.71
Barbara Demick,2441,4.42
Jack Welch,2442,3.8
Suzy Welch,2442,3.8
Gail McHugh,2443,4.24
Jonah Lehrer,2444,3.81
Laurie R. King,2445,4.08
Jean de Brunhoff,2446,4.07
Merle S. Haas,2446,4.07
Michael Scott,2447,4.17
Jim Butcher,2448,4.37
Tom Rachman,2449,3.54
Katja Millay,2450,4.34
Marjane Satrapi,2451,4.23
Anjali Singh,2451,4.23
Terry Pratchett,2452,3.88
Raymond E. Feist,2453,4.06
Jenny Downham,2454,3.84
Elizabeth Gilbert,2455,3.39
Sarah Dessen,2456,3.86
Veronica Roth,2457,4.19
Terry Goodkind,2458,3.95
Julia Child,2459,4.33
Simone Beck,2459,4.33
Louisette Bertholle,2459,4.33
Kazue Kato,2460,4.36
John Werry,2460,4.36
Terry Goodkind,2461,4.08
Mohsin Hamid,2462,3.67
Jennifer A. Nielsen,2463,4.22
John Updike,2464,3.57
Daniel Todd Gilbert,2465,3.82
T.S. Eliot,2466,4.23
Else Holmelund Minarik,2467,4.22
Maurice Sendak,2467,4.22
Edgar Allan Poe,2468,4.15
Terry Pratchett,2469,4.14
Terry Pratchett,2470,4.29
Naomi Novik,2471,4.05
Holly Black,2472,3.85
Tony DiTerlizzi,2472,3.85
David Platt,2473,4.18
Robert Greene,2474,4.18
Joost Elffers,2474,4.18
Jean Craighead George,2475,4.03
Susanna Kearsley,2476,4.07
Rosalyn Landor,2476,4.07
Peter Lerangis,2477,3.87
Robin Cook,2478,3.86
Hubert Selby Jr.,2479,4.1
Darren Aronofsky,2479,4.1
Richard Price,2479,4.1
Erin Hunter,2480,4.29
Dee Brown,2481,4.21
Wladyslaw Szpilman,2482,4.24
Anthea Bell,2482,4.24
Maya Banks,2483,3.97
Ian Edginton,2484,4.12
Oscar Wilde,2484,4.12
I.N.J. Culbard,2484,4.12
Robert McCammon,2485,4.28
Kazuo Ishiguro,2486,3.42
China Mieville,2487,3.96
Carrie Jones,2488,3.71
Terry Pratchett,2489,4.2
Geoffrey Crayon,2490,3.93
Washington Irving,2490,3.93
William L. Hedges,2490,3.93
Frank Herbert,2491,3.83
David Wilkerson,2492,4.2
John Sherrill,2492,4.2
Elizabeth Sherrill,2492,4.2
Jim Butcher,2493,4.38
Chuck Palahniuk,2494,3.38
Cynthia Lord,2495,3.96
Karen Russell,2496,3.21
Michael Connelly,2497,4.21
Mark Kurlansky,2498,3.73
Charlotte Bronte,2499,3.75
A.S. Byatt,2499,3.75
Maria Laina,2499,3.75
Ignes Sodre,2499,3.75
Neal Stephenson,2500,3.96
Terry Pratchett,2501,4.02
Janet Evanovich,2502,3.9
Richard Dawkins,2503,4.16
Frank Miller,2504,4.16
Og Mandino,2505,4.19
Ian Fleming,2506,3.73
Paullina Simons,2507,4.34
Toni Morrison,2508,3.86
A.G. Riddle,2509,3.69
Philippa Gregory,2510,3.74
Julie James,2511,3.94
Dr. Seuss,2512,4.11
Stephen King,2513,3.99
Peter Straub,2513,3.99
Neil Gaiman,2514,3.93
Andy Kubert,2514,3.93
Richard Isanove,2514,3.93
Peter Sanderson,2514,3.93
Vince Flynn,2515,4.28
Peter Heller,2516,3.9
John le Carre,2517,4.05
Jim Butcher,2518,4.27
James Patterson,2519,3.92
Haruki Murakami,2520,3.96
Cun Shang  Chun Shu ,2520,3.96
Paulo Coelho,2521,3.64
Alan R. Clarke,2521,3.64
Lee Child,2522,4.14
Sheila Burnford,2523,4.16
Geraldine Brooks,2524,3.73
Lee Child,2525,4.0
Dick Hill,2525,4.0
Grant Morrison,2526,4.06
Frank Quitely,2526,4.06
George R.R. Martin,2527,4.63
Nora Roberts,2528,3.91
Alyson Noel,2529,3.73
Fiona Barton,2530,3.49
Patrick Carman,2531,4.0
Kiera Cass,2532,3.93
Marie Rutkoski,2533,4.03
Sapphire,2534,3.82
Elena Ferrante,2535,4.37
Ann Goldstein,2535,4.37
Arthur C. Clarke,2536,3.89
Atsushi Ohkubo,2537,4.3
William Kent Krueger,2538,4.14
David Baldacci,2539,4.03
Gene Luen Yang,2540,3.88
Eugene Bradley Coco,2541,4.32
Ron Dias,2541,4.32
Walt Disney Company,2541,4.32
K.A. Tucker,2542,4.16
David Mitchell,2543,4.03
Christopher Marlowe,2544,3.79
Sherrilyn Kenyon,2545,4.39
Candace Bushnell,2546,3.39
James Patterson,2547,3.94
Anthony Robbins,2548,4.1
Tony Robbins,2548,4.1
Frederick L. Covan,2548,4.1
Laurell K. Hamilton,2549,4.04
Laurell K. Hamilton,2550,4.07
Diane Chamberlain,2551,3.93
Kurt Vonnegut Jr.,2552,3.85
Arthur Conan Doyle,2553,3.92
Terry Pratchett,2554,4.18
Octavia E. Butler,2555,4.18
Laura Ingalls Wilder,2556,4.16
Garth Williams,2556,4.16
Henry Cloud,2557,4.19
John Townsend,2557,4.19
Maggie Stiefvater,2558,4.32
Philip Roth,2559,3.69
Luca Marinelli,2559,3.69
John C. Maxwell,2560,4.12
Zig Ziglar,2560,4.12
Margaret Atwood,2561,3.92
J. Sterling,2562,3.97
Patrick Ness,2563,4.25
Orson Scott Card,2564,3.98
Brian Selznick,2565,4.16
Sarah Ban Breathnach,2566,3.96
Moira Young,2567,3.94
James Patterson,2568,4.02
Maxine Paetro,2568,4.02
Edgar Rice Burroughs,2569,3.8
John Seelye,2569,3.8
Margaret Atwood,2570,3.98
Laura Ingalls Wilder,2571,4.17
Garth Williams,2571,4.17
Victoria Finlay,2572,3.74
John Grisham,2573,3.47
Michael Connelly,2574,4.05
Kristin Hannah,2575,4.12
Christina Lauren,2576,4.24
Libba Bray,2577,3.97
Ernest J. Gaines,2578,3.93
David Sedaris,2579,4.33
Nicholas Sparks,2580,3.93
Sophie Kinsella,2581,3.7
Gene Zion,2582,4.17
Margaret Bloy Graham,2582,4.17
Jennifer Weiner,2583,3.61
George Orwell,2584,4.1
Hiro Fujiwara,2585,4.4
Nick Bantock,2586,4.01
Leigh Bardugo,2587,4.17
'Hmd khld twfyq,2588,3.9
Jennifer Weiner,2589,3.7
Cheryl Strayed,2590,4.29
Karen Marie Moning,2591,3.99
Ann Rule,2592,4.13
Claudia Gray,2593,3.8
Michael Crichton,2594,3.61
Sidney Sheldon,2595,3.89
Michael Connelly,2596,4.13
Louis Sachar,2597,4.17
Joel Schick,2597,4.17
Julie Orringer,2598,4.19
Arthur Morey,2598,4.19
Pittacus Lore,2599,4.24
Thomas Hardy,2600,3.8
Keith Wilson,2600,3.8
John Steinbeck,2601,3.42
Jo Nesbo,2602,4.03
Alice Hoffman,2603,3.68
Anne Rice,2604,3.78
Tim Curry,2604,3.78
Laurell K. Hamilton,2605,4.08
Peter V. Brett,2606,4.23
John Grisham,2607,3.58
Tamora Pierce,2608,4.2
Ben Aaronovitch,2609,3.92
Marian Keyes,2610,3.74
Terry Pratchett,2611,4.29
Vikram Seth,2612,4.1
Chimamanda Ngozi Adichie,2613,4.47
Patricia Briggs,2614,4.26
Amy Sedaris,2615,3.87
William Gibson,2616,3.86
Peter  Swanson,2617,4.03
Patricia Schultz,2618,3.83
Angie Sage,2619,3.99
Mark Zug,2619,3.99
Roald Dahl,2620,4.09
Quentin Blake,2620,4.09
Anne Lamott,2621,4.15
Vince Flynn,2622,4.3
Tamora Pierce,2623,4.32
Isaac Asimov,2624,4.05
Max Lucado,2625,4.45
Renee Ahdieh,2626,4.19
Nicholas D. Kristof,2627,4.31
Sheryl WuDunn,2627,4.31
Daniel Handler,2628,3.49
Maira Kalman,2628,3.49
Sarah J. Maas,2629,4.48
Curtis Sittenfeld,2630,3.72
Jim Butcher,2631,4.36
Mary Doria Russell,2632,4.17
Jodi Picoult,2633,3.57
Charlie N. Holmberg,2634,3.63
Steve Harvey,2635,3.82
Candice Millard,2636,4.19
Shirley Jackson,2637,4.05
Jonathan Lethem,2637,4.05
Emerson Eggerichs,2638,4.17
Michael Connelly,2639,4.08
Timothy Zahn,2640,4.14
Lee Child,2641,4.02
Gail Carson Levine,2642,4.02
Richard Wright,2643,4.02
Jerry W. Ward Jr.,2643,4.02
Lalita Tademy,2644,4.04
Terry Goodkind,2645,3.99
Isaac Asimov,2646,4.02
James D. Bradley,2647,4.18
Ron Powers,2647,4.18
A.A. Milne,2648,4.43
Ernest H. Shepard,2648,4.43
Mahatma Gandhi,2649,4.07
Lance Armstrong,2650,3.72
Sally Jenkins,2650,3.72
Stephen E. Ambrose,2651,4.22
Helen Macdonald,2652,3.74
David Nicholls,2653,3.66
R.A. Salvatore,2654,4.23
Christopher Yost,2655,4.37
Orson Scott Card,2655,4.37
Pasqual Ferry,2655,4.37
Frank D'Armata,2655,4.37
Karuho Shiina,2656,4.23
Tomo Kimura,2656,4.23
Dean Koontz,2657,3.87
Terry Pratchett,2658,3.91
C.J. Roberts,2659,4.01
James Allen,2660,4.29
Mary Roach,2661,3.83
Rachel Caine,2662,4.11
Nina George,2663,3.51
Simon Pare,2663,3.51
Ian McEwan,2664,3.4
